Asset Alloc.,ST,CB,PB,GO,CA
1,0.0,1.0,0.0,0.0,0.0
21,0.0,0.0,1.0,0.0,0.0
3312,0.0,0.9,0.0,0.0,0.1
3313,0.0,0.85,0.05,0.0,0.1
3314,0.0,0.8,0.1,0.0,0.1
3315,0.0,0.75,0.15,0.0,0.1
3316,0.0,0.7,0.2,0.0,0.1
3317,0.0,0.65,0.25,0.0,0.1
3318,0.0,0.6,0.3,0.0,0.1
3319,0.0,0.55,0.35,0.0,0.1
3320,0.0,0.5,0.4,0.0,0.1
3321,0.0,0.45,0.45,0.0,0.1
3322,0.0,0.4,0.5,0.0,0.1
3323,0.0,0.35,0.55,0.0,0.1
3324,0.0,0.3,0.6,0.0,0.1
3325,0.0,0.25,0.65,0.0,0.1
3326,0.0,0.2,0.7,0.0,0.1
3327,0.0,0.15,0.75,0.0,0.1
3328,0.0,0.1,0.8,0.0,0.1
3329,0.0,0.05,0.85,0.0,0.1
3330,0.0,0.0,0.9,0.0,0.1